Compound,Negative,Neutral,Positive,Tweet Count,User
-0.4215,0.189,0.811,0.0,133,@BBCWorld
-0.7351,0.437,0.563,0.0,134,@BBCWorld
0.0,0.0,1.0,0.0,135,@BBCWorld
0.8225,0.0,0.542,0.458,136,@BBCWorld
0.0,0.0,1.0,0.0,137,@BBCWorld
0.0,0.0,1.0,0.0,138,@BBCWorld
0.0,0.0,1.0,0.0,139,@BBCWorld
0.0,0.0,1.0,0.0,140,@BBCWorld
-0.7783,0.405,0.595,0.0,141,@BBCWorld
0.0,0.0,1.0,0.0,142,@BBCWorld
-0.4767,0.237,0.763,0.0,143,@BBCWorld
0.0,0.0,1.0,0.0,144,@BBCWorld
0.0,0.0,1.0,0.0,145,@BBCWorld
-0.4939,0.286,0.714,0.0,146,@BBCWorld
-0.3182,0.113,0.887,0.0,147,@BBCWorld
0.0,0.0,1.0,0.0,148,@BBCWorld
0.0,0.0,1.0,0.0,149,@BBCWorld
-0.1027,0.123,0.877,0.0,150,@BBCWorld
-0.4995,0.222,0.67,0.108,151,@BBCWorld
0.0,0.0,1.0,0.0,152,@BBCWorld
0.0,0.0,1.0,0.0,153,@BBCWorld
0.0,0.0,1.0,0.0,154,@BBCWorld
0.0,0.0,1.0,0.0,155,@BBCWorld
-0.3182,0.187,0.813,0.0,156,@BBCWorld
0.0,0.0,1.0,0.0,157,@BBCWorld
0.0,0.0,1.0,0.0,158,@BBCWorld
-0.8591,0.543,0.457,0.0,159,@BBCWorld
-0.4019,0.252,0.748,0.0,160,@BBCWorld
0.0,0.0,1.0,0.0,161,@BBCWorld
-0.4215,0.189,0.811,0.0,162,@BBCWorld
-0.6908,0.251,0.749,0.0,163,@BBCWorld
-0.886,0.486,0.514,0.0,164,@BBCWorld
-0.4767,0.22,0.78,0.0,165,@BBCWorld
-0.4215,0.189,0.811,0.0,166,@BBCWorld
0.0,0.0,1.0,0.0,167,@BBCWorld
0.0,0.0,1.0,0.0,168,@BBCWorld
0.0,0.0,1.0,0.0,169,@BBCWorld
0.0,0.0,1.0,0.0,170,@BBCWorld
0.2732,0.191,0.522,0.287,171,@BBCWorld
0.0,0.0,1.0,0.0,172,@BBCWorld
0.6166,0.0,0.705,0.295,173,@BBCWorld
0.0,0.0,1.0,0.0,174,@BBCWorld
0.0,0.0,1.0,0.0,175,@BBCWorld
0.6166,0.0,0.705,0.295,176,@BBCWorld
-0.4215,0.189,0.811,0.0,177,@BBCWorld
-0.4215,0.189,0.811,0.0,178,@BBCWorld
0.0,0.0,1.0,0.0,179,@BBCWorld
0.0,0.0,1.0,0.0,180,@BBCWorld
-0.3182,0.113,0.887,0.0,181,@BBCWorld
0.0,0.0,1.0,0.0,182,@BBCWorld
0.0,0.0,1.0,0.0,183,@BBCWorld
-0.6908,0.251,0.749,0.0,184,@BBCWorld
0.0,0.0,1.0,0.0,185,@BBCWorld
-0.4215,0.189,0.811,0.0,186,@BBCWorld
0.5106,0.0,0.858,0.142,187,@BBCWorld
-0.4215,0.189,0.811,0.0,188,@BBCWorld
0.6705,0.0,0.703,0.297,189,@BBCWorld
0.0,0.0,1.0,0.0,190,@BBCWorld
0.0,0.0,1.0,0.0,191,@BBCWorld
0.0,0.0,1.0,0.0,192,@BBCWorld
-0.6249,0.291,0.709,0.0,193,@BBCWorld
0.0,0.0,1.0,0.0,194,@BBCWorld
0.0,0.0,1.0,0.0,195,@BBCWorld
-0.3125,0.161,0.839,0.0,196,@BBCWorld
0.0,0.0,1.0,0.0,197,@BBCWorld
-0.6908,0.251,0.749,0.0,198,@BBCWorld
0.0,0.0,1.0,0.0,199,@BBCWorld
-0.4215,0.189,0.811,0.0,200,@BBCWorld
0.0,0.0,1.0,0.0,201,@CBS
0.0,0.0,1.0,0.0,202,@CBS
0.0,0.0,1.0,0.0,203,@CBS
0.4003,0.0,0.881,0.119,204,@CBS
0.0,0.0,1.0,0.0,205,@CBS
0.296,0.0,0.761,0.239,206,@CBS
0.4003,0.0,0.881,0.119,207,@CBS
0.34,0.0,0.87,0.13,208,@CBS
0.0,0.0,1.0,0.0,209,@CBS
0.0,0.0,1.0,0.0,210,@CBS
-0.7088,0.252,0.656,0.092,211,@CBS
0.0,0.0,1.0,0.0,212,@CBS
0.0,0.0,1.0,0.0,213,@CBS
0.0,0.0,1.0,0.0,214,@CBS
-0.0258,0.121,0.762,0.117,215,@CBS
0.0,0.0,1.0,0.0,216,@CBS
-0.5214,0.194,0.806,0.0,217,@CBS
0.0,0.0,1.0,0.0,218,@CBS
0.0,0.0,1.0,0.0,219,@CBS
-0.5267,0.195,0.805,0.0,220,@CBS
-0.8217,0.655,0.345,0.0,221,@CBS
0.0,0.0,1.0,0.0,222,@CBS
0.0,0.0,1.0,0.0,223,@CBS
0.0,0.0,1.0,0.0,224,@CBS
0.6588,0.0,0.532,0.468,225,@CBS
-0.296,0.306,0.694,0.0,226,@CBS
-0.8103,0.317,0.683,0.0,227,@CBS
0.4449,0.0,0.883,0.117,228,@CBS
0.0,0.0,1.0,0.0,229,@CBS
-0.5423,0.212,0.788,0.0,230,@CBS
0.6249,0.0,0.785,0.215,231,@CBS
0.0,0.0,1.0,0.0,232,@CBS
0.0,0.0,1.0,0.0,233,@CBS
0.0,0.0,1.0,0.0,234,@CBS
0.4215,0.0,0.682,0.318,235,@CBS
0.8398,0.0,0.556,0.444,236,@CBS
0.6369,0.0,0.755,0.245,237,@CBS
-0.4588,0.16,0.84,0.0,238,@CBS
0.0,0.0,1.0,0.0,239,@CBS
-0.6808,0.277,0.723,0.0,240,@CBS
0.7351,0.0,0.592,0.408,241,@CBS
0.8164,0.0,0.695,0.305,242,@CBS
0.0,0.0,1.0,0.0,243,@CBS
0.5622,0.0,0.734,0.266,244,@CBS
0.0,0.0,1.0,0.0,245,@CBS
0.0,0.0,1.0,0.0,246,@CBS
0.5267,0.055,0.78,0.165,247,@CBS
0.0,0.0,1.0,0.0,248,@CBS
0.0,0.0,1.0,0.0,249,@CBS
-0.1511,0.336,0.385,0.279,250,@CBS
-0.3182,0.277,0.723,0.0,251,@CBS
0.0,0.0,1.0,0.0,252,@CBS
0.0,0.0,1.0,0.0,253,@CBS
0.0,0.0,1.0,0.0,254,@CBS
0.128,0.0,0.936,0.064,255,@CBS
0.0279,0.142,0.749,0.109,256,@CBS
0.0,0.0,1.0,0.0,257,@CBS
-0.4574,0.327,0.517,0.155,258,@CBS
0.0,0.0,1.0,0.0,259,@CBS
0.4939,0.0,0.856,0.144,260,@CBS
0.0,0.0,1.0,0.0,261,@CBS
0.0,0.0,1.0,0.0,262,@CBS
-0.5106,0.231,0.769,0.0,263,@CBS
-0.4019,0.31,0.69,0.0,264,@CBS
0.0,0.0,1.0,0.0,265,@CBS
0.0,0.0,1.0,0.0,266,@CBS
0.6679,0.0,0.719,0.281,267,@CBS
-0.1779,0.159,0.841,0.0,268,@CBS
-0.34,0.185,0.815,0.0,269,@CBS
-0.6249,0.274,0.622,0.104,270,@CBS
0.0,0.0,1.0,0.0,271,@CBS
0.0,0.0,1.0,0.0,272,@CBS
0.0,0.0,1.0,0.0,273,@CBS
0.0,0.0,1.0,0.0,274,@CBS
-0.6249,0.313,0.687,0.0,275,@CBS
0.7351,0.0,0.69,0.31,276,@CBS
-0.508,0.247,0.753,0.0,277,@CBS
0.0,0.0,1.0,0.0,278,@CBS
0.4767,0.0,0.846,0.154,279,@CBS
0.0,0.0,1.0,0.0,280,@CBS
0.8122,0.0,0.67,0.33,281,@CBS
0.4404,0.0,0.756,0.244,282,@CBS
0.5972,0.0,0.823,0.177,283,@CBS
0.4939,0.0,0.849,0.151,284,@CBS
0.0,0.0,1.0,0.0,285,@CBS
-0.8658,0.471,0.529,0.0,286,@CBS
0.0,0.0,1.0,0.0,287,@CBS
-0.296,0.099,0.901,0.0,288,@CBS
0.0,0.0,1.0,0.0,289,@CBS
0.0,0.0,1.0,0.0,290,@CBS
-0.6486,0.235,0.765,0.0,291,@CBS
-0.25,0.095,0.905,0.0,292,@CBS
0.6679,0.0,0.687,0.313,293,@CBS
0.0,0.0,1.0,0.0,294,@CBS
0.3885,0.0,0.859,0.141,295,@CBS
0.0,0.0,1.0,0.0,296,@CBS
0.0,0.0,1.0,0.0,297,@CBS
0.0,0.0,1.0,0.0,298,@CBS
0.0,0.0,1.0,0.0,299,@CBS
0.0,0.0,1.0,0.0,300,@CBS
0.0,0.0,1.0,0.0,301,@CBS
0.0,0.0,1.0,0.0,302,@CBS
0.0,0.0,1.0,0.0,303,@CBS
0.4003,0.0,0.881,0.119,304,@CBS
0.0,0.0,1.0,0.0,305,@CBS
0.296,0.0,0.761,0.239,306,@CBS
0.4003,0.0,0.881,0.119,307,@CBS
0.34,0.0,0.87,0.13,308,@CBS
0.0,0.0,1.0,0.0,309,@CBS
0.0,0.0,1.0,0.0,310,@CBS
-0.7088,0.252,0.656,0.092,311,@CBS
0.0,0.0,1.0,0.0,312,@CBS
0.0,0.0,1.0,0.0,313,@CBS
0.0,0.0,1.0,0.0,314,@CBS
-0.0258,0.121,0.762,0.117,315,@CBS
0.0,0.0,1.0,0.0,316,@CBS
-0.5214,0.194,0.806,0.0,317,@CBS
0.0,0.0,1.0,0.0,318,@CBS
0.0,0.0,1.0,0.0,319,@CBS
-0.5267,0.195,0.805,0.0,320,@CBS
-0.8217,0.655,0.345,0.0,321,@CBS
0.0,0.0,1.0,0.0,322,@CBS
0.0,0.0,1.0,0.0,323,@CBS
0.0,0.0,1.0,0.0,324,@CBS
0.6588,0.0,0.532,0.468,325,@CBS
-0.296,0.306,0.694,0.0,326,@CBS
-0.8103,0.317,0.683,0.0,327,@CBS
0.4449,0.0,0.883,0.117,328,@CBS
0.0,0.0,1.0,0.0,329,@CBS
-0.5423,0.212,0.788,0.0,330,@CBS
0.6249,0.0,0.785,0.215,331,@CBS
0.0,0.0,1.0,0.0,332,@CBS
0.0,0.0,1.0,0.0,333,@CBS
0.0,0.0,1.0,0.0,334,@CBS
0.4215,0.0,0.682,0.318,335,@CBS
0.8398,0.0,0.556,0.444,336,@CBS
0.6369,0.0,0.755,0.245,337,@CBS
-0.4588,0.16,0.84,0.0,338,@CBS
0.0,0.0,1.0,0.0,339,@CBS
-0.6808,0.277,0.723,0.0,340,@CBS
0.7351,0.0,0.592,0.408,341,@CBS
0.8164,0.0,0.695,0.305,342,@CBS
0.0,0.0,1.0,0.0,343,@CBS
0.5622,0.0,0.734,0.266,344,@CBS
0.0,0.0,1.0,0.0,345,@CBS
0.0,0.0,1.0,0.0,346,@CBS
0.5267,0.055,0.78,0.165,347,@CBS
0.0,0.0,1.0,0.0,348,@CBS
0.0,0.0,1.0,0.0,349,@CBS
-0.1511,0.336,0.385,0.279,350,@CBS
-0.3182,0.277,0.723,0.0,351,@CBS
0.0,0.0,1.0,0.0,352,@CBS
0.0,0.0,1.0,0.0,353,@CBS
0.0,0.0,1.0,0.0,354,@CBS
0.128,0.0,0.936,0.064,355,@CBS
0.0279,0.142,0.749,0.109,356,@CBS
0.0,0.0,1.0,0.0,357,@CBS
-0.4574,0.327,0.517,0.155,358,@CBS
0.0,0.0,1.0,0.0,359,@CBS
0.4939,0.0,0.856,0.144,360,@CBS
0.0,0.0,1.0,0.0,361,@CBS
0.0,0.0,1.0,0.0,362,@CBS
-0.5106,0.231,0.769,0.0,363,@CBS
-0.4019,0.31,0.69,0.0,364,@CBS
0.0,0.0,1.0,0.0,365,@CBS
0.0,0.0,1.0,0.0,366,@CBS
0.6679,0.0,0.719,0.281,367,@CBS
-0.1779,0.159,0.841,0.0,368,@CBS
-0.34,0.185,0.815,0.0,369,@CBS
-0.6249,0.274,0.622,0.104,370,@CBS
0.0,0.0,1.0,0.0,371,@CBS
0.0,0.0,1.0,0.0,372,@CBS
0.0,0.0,1.0,0.0,373,@CBS
0.0,0.0,1.0,0.0,374,@CBS
-0.6249,0.313,0.687,0.0,375,@CBS
0.7351,0.0,0.69,0.31,376,@CBS
-0.508,0.247,0.753,0.0,377,@CBS
0.0,0.0,1.0,0.0,378,@CBS
0.4767,0.0,0.846,0.154,379,@CBS
0.0,0.0,1.0,0.0,380,@CBS
0.8122,0.0,0.67,0.33,381,@CBS
0.4404,0.0,0.756,0.244,382,@CBS
0.5972,0.0,0.823,0.177,383,@CBS
0.4939,0.0,0.849,0.151,384,@CBS
0.0,0.0,1.0,0.0,385,@CBS
-0.8658,0.471,0.529,0.0,386,@CBS
0.0,0.0,1.0,0.0,387,@CBS
-0.296,0.099,0.901,0.0,388,@CBS
0.0,0.0,1.0,0.0,389,@CBS
0.0,0.0,1.0,0.0,390,@CBS
-0.6486,0.235,0.765,0.0,391,@CBS
-0.25,0.095,0.905,0.0,392,@CBS
0.6679,0.0,0.687,0.313,393,@CBS
0.0,0.0,1.0,0.0,394,@CBS
0.3885,0.0,0.859,0.141,395,@CBS
0.0,0.0,1.0,0.0,396,@CBS
0.0,0.0,1.0,0.0,397,@CBS
0.0,0.0,1.0,0.0,398,@CBS
0.0,0.0,1.0,0.0,399,@CBS
0.0,0.0,1.0,0.0,400,@CBS
0.0,0.0,1.0,0.0,401,@CNN
0.0,0.0,1.0,0.0,402,@CNN
0.0516,0.121,0.75,0.129,403,@CNN
0.0,0.0,1.0,0.0,404,@CNN
0.2023,0.0,0.921,0.079,405,@CNN
-0.6808,0.605,0.395,0.0,406,@CNN
-0.7269,0.353,0.647,0.0,407,@CNN
0.6486,0.101,0.637,0.262,408,@CNN
-0.3875,0.141,0.859,0.0,409,@CNN
-0.25,0.191,0.679,0.13,410,@CNN
0.8268,0.0,0.697,0.303,411,@CNN
0.4926,0.0,0.862,0.138,412,@CNN
-0.743,0.24,0.76,0.0,413,@CNN
0.0,0.0,1.0,0.0,414,@CNN
0.34,0.0,0.815,0.185,415,@CNN
0.0,0.0,1.0,0.0,416,@CNN
0.0,0.0,1.0,0.0,417,@CNN
0.4404,0.0,0.868,0.132,418,@CNN
-0.6739,0.178,0.822,0.0,419,@CNN
0.0,0.0,1.0,0.0,420,@CNN
0.8268,0.0,0.697,0.303,421,@CNN
-0.1027,0.147,0.733,0.12,422,@CNN
-0.3818,0.271,0.729,0.0,423,@CNN
-0.6369,0.215,0.785,0.0,424,@CNN
0.0,0.0,1.0,0.0,425,@CNN
-0.8481,0.338,0.662,0.0,426,@CNN
-0.3818,0.178,0.822,0.0,427,@CNN
0.7096,0.0,0.796,0.204,428,@CNN
0.6369,0.0,0.781,0.219,429,@CNN
0.0,0.0,1.0,0.0,430,@CNN
0.872,0.0,0.586,0.414,431,@CNN
0.6249,0.0,0.854,0.146,432,@CNN
0.128,0.0,0.88,0.12,433,@CNN
0.7096,0.0,0.796,0.204,434,@CNN
0.7096,0.0,0.796,0.204,435,@CNN
0.0,0.0,1.0,0.0,436,@CNN
-0.7506,0.561,0.439,0.0,437,@CNN
-0.6486,0.227,0.773,0.0,438,@CNN
0.6369,0.0,0.781,0.219,439,@CNN
0.0,0.0,1.0,0.0,440,@CNN
0.6369,0.0,0.682,0.318,441,@CNN
0.2263,0.0,0.905,0.095,442,@CNN
0.5994,0.0,0.83,0.17,443,@CNN
0.2023,0.0,0.526,0.474,444,@CNN
0.0,0.0,1.0,0.0,445,@CNN
0.0772,0.0,0.944,0.056,446,@CNN
0.0,0.0,1.0,0.0,447,@CNN
0.0,0.0,1.0,0.0,448,@CNN
0.34,0.0,0.888,0.112,449,@CNN
0.0772,0.0,0.944,0.056,450,@CNN
-0.8979,0.362,0.638,0.0,451,@CNN
0.4939,0.0,0.789,0.211,452,@CNN
0.0,0.0,1.0,0.0,453,@CNN
0.0,0.0,1.0,0.0,454,@CNN
0.0,0.0,1.0,0.0,455,@CNN
0.7269,0.0,0.757,0.243,456,@CNN
0.3453,0.11,0.688,0.202,457,@CNN
-0.5267,0.139,0.861,0.0,458,@CNN
0.3612,0.0,0.906,0.094,459,@CNN
0.7096,0.0,0.796,0.204,460,@CNN
0.2235,0.0,0.91,0.09,461,@CNN
-0.5267,0.152,0.848,0.0,462,@CNN
-0.4927,0.151,0.849,0.0,463,@CNN
0.0772,0.0,0.944,0.056,464,@CNN
0.0,0.0,1.0,0.0,465,@CNN
-0.8625,0.37,0.497,0.133,466,@CNN
0.0777,0.114,0.758,0.128,467,@CNN
0.7096,0.0,0.796,0.204,468,@CNN
-0.2732,0.119,0.881,0.0,469,@CNN
0.2023,0.0,0.921,0.079,470,@CNN
0.0,0.0,1.0,0.0,471,@CNN
-0.3182,0.277,0.723,0.0,472,@CNN
0.0,0.0,1.0,0.0,473,@CNN
-0.5759,0.171,0.829,0.0,474,@CNN
-0.0258,0.125,0.755,0.121,475,@CNN
0.0,0.0,1.0,0.0,476,@CNN
0.0,0.0,1.0,0.0,477,@CNN
0.4404,0.0,0.847,0.153,478,@CNN
0.0,0.0,1.0,0.0,479,@CNN
0.6249,0.0,0.854,0.146,480,@CNN
0.4767,0.0,0.853,0.147,481,@CNN
0.5719,0.0,0.654,0.346,482,@CNN
0.6939,0.0,0.728,0.272,483,@CNN
0.0516,0.121,0.75,0.129,484,@CNN
-0.5859,0.27,0.73,0.0,485,@CNN
0.2732,0.0,0.89,0.11,486,@CNN
-0.3182,0.187,0.813,0.0,487,@CNN
0.4753,0.0,0.795,0.205,488,@CNN
0.0,0.0,1.0,0.0,489,@CNN
0.0,0.0,1.0,0.0,490,@CNN
-0.34,0.107,0.893,0.0,491,@CNN
-0.698,0.419,0.581,0.0,492,@CNN
0.2023,0.0,0.921,0.079,493,@CNN
0.0,0.0,1.0,0.0,494,@CNN
0.538,0.096,0.686,0.217,495,@CNN
-0.5267,0.196,0.804,0.0,496,@CNN
0.6705,0.107,0.602,0.291,497,@CNN
0.6249,0.0,0.854,0.146,498,@CNN
0.0,0.0,1.0,0.0,499,@CNN
0.4404,0.0,0.791,0.209,500,@CNN
-0.4545,0.306,0.694,0.0,501,@CNN
0.0,0.0,1.0,0.0,502,@CNN
0.0,0.0,1.0,0.0,503,@CNN
0.0516,0.121,0.75,0.129,504,@CNN
0.0,0.0,1.0,0.0,505,@CNN
0.2023,0.0,0.921,0.079,506,@CNN
-0.6808,0.605,0.395,0.0,507,@CNN
-0.7269,0.353,0.647,0.0,508,@CNN
0.6486,0.101,0.637,0.262,509,@CNN
-0.3875,0.141,0.859,0.0,510,@CNN
-0.25,0.191,0.679,0.13,511,@CNN
0.8268,0.0,0.697,0.303,512,@CNN
0.4926,0.0,0.862,0.138,513,@CNN
-0.743,0.24,0.76,0.0,514,@CNN
0.0,0.0,1.0,0.0,515,@CNN
0.34,0.0,0.815,0.185,516,@CNN
0.0,0.0,1.0,0.0,517,@CNN
0.0,0.0,1.0,0.0,518,@CNN
0.4404,0.0,0.868,0.132,519,@CNN
-0.6739,0.178,0.822,0.0,520,@CNN
0.0,0.0,1.0,0.0,521,@CNN
0.8268,0.0,0.697,0.303,522,@CNN
-0.1027,0.147,0.733,0.12,523,@CNN
-0.3818,0.271,0.729,0.0,524,@CNN
-0.6369,0.215,0.785,0.0,525,@CNN
0.0,0.0,1.0,0.0,526,@CNN
-0.8481,0.338,0.662,0.0,527,@CNN
-0.3818,0.178,0.822,0.0,528,@CNN
0.7096,0.0,0.796,0.204,529,@CNN
0.6369,0.0,0.781,0.219,530,@CNN
0.0,0.0,1.0,0.0,531,@CNN
0.872,0.0,0.586,0.414,532,@CNN
0.6249,0.0,0.854,0.146,533,@CNN
0.128,0.0,0.88,0.12,534,@CNN
0.7096,0.0,0.796,0.204,535,@CNN
0.7096,0.0,0.796,0.204,536,@CNN
0.0,0.0,1.0,0.0,537,@CNN
-0.7506,0.561,0.439,0.0,538,@CNN
-0.6486,0.227,0.773,0.0,539,@CNN
0.6369,0.0,0.781,0.219,540,@CNN
0.0,0.0,1.0,0.0,541,@CNN
0.6369,0.0,0.682,0.318,542,@CNN
0.2263,0.0,0.905,0.095,543,@CNN
0.5994,0.0,0.83,0.17,544,@CNN
0.2023,0.0,0.526,0.474,545,@CNN
0.0,0.0,1.0,0.0,546,@CNN
0.0772,0.0,0.944,0.056,547,@CNN
0.0,0.0,1.0,0.0,548,@CNN
0.0,0.0,1.0,0.0,549,@CNN
0.34,0.0,0.888,0.112,550,@CNN
0.0772,0.0,0.944,0.056,551,@CNN
-0.8979,0.362,0.638,0.0,552,@CNN
0.4939,0.0,0.789,0.211,553,@CNN
0.0,0.0,1.0,0.0,554,@CNN
0.0,0.0,1.0,0.0,555,@CNN
0.0,0.0,1.0,0.0,556,@CNN
0.7269,0.0,0.757,0.243,557,@CNN
0.3453,0.11,0.688,0.202,558,@CNN
-0.5267,0.139,0.861,0.0,559,@CNN
